attachment_id,text,user_id,height,width,length,train,frame_count,height_width
5ce6ce8a-d191-47d4-97b4-3fc6f9138a73,я,185bd3a81d9d618518d10abebf0d17a8,1920,1080,91.0,True,51,1920_1080
c9e2dbd1-ec2f-4382-a80e-5bca8396a9b1,я,46dd04a1caa75ed3082b573cb5a3ad26,1920,1080,58.0,True,58,1920_1080
3f72244c-7379-4403-b7ee-e1b1b8d78d46,я,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,49.0,True,49,1280_720
5adf08e2-4ff6-4183-ba22-446c1cd0b0f8,я,0211b488644476dd0fec656ccb9b74fc,1920,1080,50.0,True,50,1920_1080
13a148fc-a546-47ab-b5d0-f9d0c3cce1de,я,2d84da20c251acaeb3186642fcb04f2e,1920,1080,27.0,True,27,1920_1080
8a347e81-bdbd-4afd-8e36-209412f73358,я,b07a773bcb10b4f14f33d2b0e8ec58ba,720,1280,39.0,True,39,720_1280
37deb6f6-0501-4a77-95c8-54a74721812a,я,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,42.0,True,42,1280_720
a5129bce-af6e-4957-ab5c-7271719f65c1,я,46dd04a1caa75ed3082b573cb5a3ad26,1920,822,43.0,True,43,1920_822
fe3c3f75-a971-447a-a365-a38b31b40539,я,0211b488644476dd0fec656ccb9b74fc,1920,1080,37.0,True,37,1920_1080
35ec7228-ad64-45da-93d0-786ad430c633,я,b07a773bcb10b4f14f33d2b0e8ec58ba,720,1280,57.0,True,57,720_1280
17fdf4e2-951f-46ea-9d65-e511502fa610,я,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,65.0,True,65,1280_720
7d6f322e-43c7-4694-93db-01b6b5e9d744,я,0211b488644476dd0fec656ccb9b74fc,1920,1080,42.0,True,42,1920_1080
6d8c7461-21cf-4fb6-a95f-c4e792974816,я,185bd3a81d9d618518d10abebf0d17a8,1920,1080,64.0,True,64,1920_1080
3420eaf2-8285-4515-9318-bba1fd7f2f27,я,46dd04a1caa75ed3082b573cb5a3ad26,1920,822,36.0,True,36,1920_822
feebd581-00c2-42af-8fd6-a37d9a27eb26,я,2d84da20c251acaeb3186642fcb04f2e,1920,1080,29.0,True,29,1920_1080
189ecd01-1a94-4570-b0c0-cdeca3065795,дикое животное,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,44.0,True,44,1280_720
10a84754-b0e7-4365-ad35-8de12639288b,попугай,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,42.0,True,42,1280_720
366aa7ad-daf8-4697-a85f-461c1962abb5,кошка,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,55.0,True,55,1280_720
5f07b9ae-eaf6-4424-a24f-05c2b8e06398,собака,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,33.0,True,33,1280_720
aafd514e-3543-47bc-a398-18ca3b659a32,рыба,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,43.0,True,43,1280_720
9dbe0166-4be2-4a93-b468-58b672531731,птица,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,56.0,True,56,1280_720
d7e01297-1909-476b-98ec-a17025d60801,домашнее животное,db573f94204e56e0cf3fc2ea000e5bdc,1280,720,54.0,True,54,1280_720
8fa7b059-7ded-41dd-9bc1-de26fc42b8c7,кошка,0211b488644476dd0fec656ccb9b74fc,1920,1080,33.0,True,33,1920_1080
2c3b8248-7f3e-45fe-a2b8-2d8dce4c6836,дикое животное,0211b488644476dd0fec656ccb9b74fc,1920,1080,59.0,True,59,1920_1080
2d682706-9dc8-4d3d-b926-72e205e8a43e,птица,0211b488644476dd0fec656ccb9b74fc,1920,1080,74.0,True,74,1920_1080
18c3b9f6-5c69-4e53-8401-92170a2c2f2c,собака,0211b488644476dd0fec656ccb9b74fc,1920,1080,48.0,True,48,1920_1080
52492537-98a3-4da3-b3fb-c845c9c3b501,попугай,0211b488644476dd0fec656ccb9b74fc,1920,1080,37.0,True,37,1920_1080
7e3281f0-2c85-4ec5-a507-65a569383b61,рыба,0211b488644476dd0fec656ccb9b74fc,1920,1080,31.0,True,31,1920_1080
d9bc4dc3-c9f4-473f-ad40-395af960cf42,попугай,b07a773bcb10b4f14f33d2b0e8ec58ba,720,1280,45.0,True,45,720_1280
f2f21ac7-67e6-4eee-a27c-3d446017ee63,кошка,b07a773bcb10b4f14f33d2b0e8ec58ba,720,1280,53.0,True,53,720_1280
546ead41-1347-41e8-9602-3fde33db313a,дикое животное,b07a773bcb10b4f14f33d2b0e8ec58ba,720,1280,74.0,True,74,720_1280
